# adapted from http://bbs.unispim.com/forum.php?mod=viewthread&tid=28002
阿	ek
锕	je
吖	kb

啊	ke
嗄	ke

呵	kk
腌	od
盎	km
昂	op
肮	ow
爱	au
癌	bk
皑	bu
艾	ci
蔼	cy
叆	ea
隘	eb
砹	ec
碍	eo
捱	fi
挨	fs
锿	jw
嗳	ka
嗌	kb
哎	kc
唉	ks
嫒	na
暧	oa
欸	sd
埃	ts
矮	uh
瑷	wa
哀	wk
诶	ys
霭	yy
桉	ag
广	di
鹌	dn
按	fg
揞	fl
案	ga
庵	gd
鞍	gg
安	gn
黯	hl
厂	hp
铵	jg
唵	kd
咹	kg
胺	og
暗	ol

氨	qg
犴	qg

俺	rd
埯	td
垵	tg
岸	ui
谙	yl
翱	bx
澳	dp
熬	fd
聱	fe
螯	fi
鏊	fj
骜	fm
獒	fq
嶅	fu
敖	fw

鳌	fy
拗	fy

遨	fz
廒	gf
鏖	gj
嗷	kf
噢	kp
媪	no
奥	pd
岙	pu
傲	rf
毓	rw
垇	tu
坳	ty
凹	uv
懊	xp
袄	yp

爸	bb
疤	bb

芭	cb
菝	cf
茇	cu
灞	dy

把	fb
扒	fb

捌	fk
拔	fu
靶	gb
魃	gu
钯	jb

吧	kb
叭	kb

巴	ku
耙	lb
粑	mb
八	pd
罢	st
坝	tb
岜	ub
笆	vb
霸	yg
鲅	yu
跋	zu
刨	bd
包	bk
鸨	bn
苞	cb
薄	cd
葆	cr
瀑	do
抱	fb
报	fe
宝	gw
炮	hb
爆	ho
胞	ob
暴	og
曝	oo
豹	pb
勹	pv
煲	rh
保	rk
堡	rt
饱	ub
龅	vb
褒	wr
剥	xd

雹	yb
鲍	yb

褓	yr

孢	zb
趵	zb

柏	ab
败	bw
百	eo
捭	fb
掰	ff
拜	fh
摆	fs
稗	hb
呗	kb
白	po
佰	re
栟	ab
槟	ag
柄	ah
梹	aq
病	bh
并	bk
冰	du
摒	fu
邴	he
炳	hh
丙	hk
秉	ph
兵	qb

屏	ub
饼	ub

禀	we
梆	af

榜	al
棓	al

棒	as
蒡	cl
浜	dq
磅	el
邦	fe
帮	fj
稖	hl
蚌	if
镑	jl
膀	ol

傍	rl
徬	rl

绑	sf
谤	yl

比	bb
疪	bb
赑	bb

弊	bc
毙	bh
痹	bt
毕	bu
敝	bw
毖	bx

蔽	cb
荜	cb
萆	cb

蓖	cp

荸	cu
薜	cu

苾	cx
沘	db
滗	dv
泌	dx
濞	dz
陛	eb
皕	ee

庇	gb
髀	gb
庳	gb

弼	ge
秕	hb
秘	hx
逼	hz
铋	jx

哔	kb
吡	kb

鄙	ke
睥	mb
闭	mc

婢	nb
妣	nb

币	pj
匕	pv
狴	qb
俾	rb
彼	rp
畀	th
辟	ul
嬖	un
臂	uo
壁	ut
璧	uw
屄	ux
襞	uy
避	uz

筚	vb
舭	vb

笔	vm
篦	vp
箅	vt
碧	we
必	xp
愎	xr
裨	yb
跸	zb
鼻	zt
板	ap
半	bf
瘢	bv
癍	bw
阪	ep
拌	fb
扮	ff
扳	fp
搬	fv
颁	fy
钣	jp
办	lb
瓣	lp
版	pp
伴	rb
绊	sb
坂	tp
般	vj
舨	vp
班	wd
斑	ww
本	ah
苯	ca
夯	dl
奔	du
坌	ft
锛	jd
犇	nn
畚	sd
贲	ub
笨	va
贬	bp
苄	cd
汴	dd
卞	dx
